"TC_ID","SC_Ref","Reference","Feature","Module","Title","Type","Priority","Precondition","Steps","Expected","Note","Status R1","Tester R1","Date R1"
"US08-TC-011","SC-11","QA-03.4 BA xác nhận: 'Nếu 1 Code phí thuộc nhiều Biểu phí thì khoảng thời gian hiệu lực không được overlap'","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Overlap thời gian Code phí giữa biểu phí clone và biểu phí khác — Hệ thống chặn","Negative Path","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc có Code phí 'CP-OVERLAP' với Ngày hiệu lực 01/01/2026 – 31/12/2026.
3. Tồn tại biểu phí khác cũng chứa Code phí 'CP-OVERLAP' với Ngày hiệu lực 01/06/2026 – 31/12/2026.","1. Trên form Thêm mới (clone), sửa Mã biểu phí = 'BP-NEWOVERLAP' (unique).
2. Giữ nguyên Ngày hiệu lực gốc (01/01/2026 – 31/12/2026) → overlap với biểu phí khác tại Code phí 'CP-OVERLAP'.
3. Nhấn nút 'Xác nhận'.
4. Quan sát thông báo lỗi.","(i) Nghiệp vụ/Logic: Hệ thống phát hiện Code phí 'CP-OVERLAP' có khoảng thời gian overlap giữa biểu phí clone và biểu phí khác. KHÔNG cho phép lưu.
(ii) UI: Hiển thị thông báo lỗi về vi phạm quy tắc overlap thời gian của Code phí.","Validate overlap theo US06 update","","",""
"US08-TC-012","SC-12","Tham chiếu US06 validate; QTC-11 FE-First Error Handling","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Nhập sai định dạng vào các trường trên form clone — FE chặn theo US06","Negative Path","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc → Form Thêm mới hiển thị.","1. Trên form Thêm mới (clone), nhập Ngày hiệu lực = 'abc' (sai định dạng ngày dd/mm/yyyy).
2. Nhấn nút 'Xác nhận'.
3. Quan sát thông báo lỗi.","(i) Nghiệp vụ/Logic: FE validate phát hiện định dạng ngày không hợp lệ. KHÔNG gửi request lên BE.
(ii) UI: Hiển thị thông báo lỗi inline tại trường 'Ngày hiệu lực': Định dạng không hợp lệ. [QTC-11 FE-First]","[QTC-01.5] Định dạng ngày: dd/mm/yyyy","Pass","",""
"US08-TC-013","SC-13","BA xác nhận QA-01.6: 'Mã Biểu phí do người dùng nhập', 'Mã biểu phí cũng được sao chép'","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Giữ nguyên Mã biểu phí gốc (pre-fill) rồi Xác nhận — Hệ thống báo lỗi Mã trùng","Negative Path","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc 'BP-GOCSAO01' → Form Thêm mới hiển thị với Mã = 'BP-GOCSAO01' (pre-fill nguyên giá trị).","1. Trên form Thêm mới (clone), KHÔNG sửa Mã biểu phí (giữ nguyên 'BP-GOCSAO01' được pre-fill).
2. Nhấn nút 'Xác nhận'.
3. Quan sát thông báo lỗi.","(i) Nghiệp vụ/Logic: Hệ thống phát hiện Mã 'BP-GOCSAO01' đã tồn tại (trùng với biểu phí gốc). KHÔNG cho phép lưu.
(ii) UI: Hiển thị thông báo lỗi tại trường 'Mã biểu phí': Mã đã tồn tại.","Mã được pre-fill nguyên giá trị → user PHẢI sửa Mã trước khi Xác nhận","Pass","",""
"US08-TC-014","SC-14","Trường hợp biên: biểu phí không có Code phí; BA xác nhận QA-01.5","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Sao chép biểu phí có 0 Code phí (danh sách rỗng) — Form Thêm mới hiển thị lưới trống","Boundary Value","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí 'BP-NOCF' đã duyệt, không có Code phí nào (lưới chi tiết rỗng).","1. Truy cập Tham số >> Danh mục biểu phí.
2. Tại dòng biểu phí 'BP-NOCF', nhấn nút 'Sao chép'.
3. Quan sát lưới Thông tin chi tiết trên form Thêm mới.","(i) Nghiệp vụ/Logic: Hệ thống mở form Thêm mới với Thông tin chung pre-fill đầy đủ. Lưới chi tiết Code phí hiển thị trống (0 dòng).
(ii) UI: Lưới chi tiết trống. User có thể thêm Code phí mới hoặc upload file Excel.","","","",""
"US08-TC-015","SC-15","QA-02.2: BA xác nhận 'chỉ hiển thị 1 màn hình Thêm mới có đầy đủ dữ liệu'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Sao chép biểu phí có số lượng Code phí rất lớn (gần max theo US06) — Load thành công","Boundary Value","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí 'BP-MAXCF' đã duyệt, có ~50 Code phí chi tiết.","1. Truy cập Tham số >> Danh mục biểu phí.
2. Tại dòng biểu phí 'BP-MAXCF', nhấn nút 'Sao chép'.
3. Quan sát lưới Thông tin chi tiết.","(i) Nghiệp vụ/Logic: Hệ thống load thành công toàn bộ ~50 Code phí lên lưới chi tiết. Không bị timeout hay lỗi.
(ii) UI: Lưới chi tiết hiển thị đầy đủ các Code phí với phân trang (nếu có). Form hoạt động bình thường.","","","",""
"US08-TC-016","SC-16","QTC-01.6: Ghi chú/Mô tả tối đa 300 ký tự","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Sao chép biểu phí gốc có Ghi chú đạt đúng 300 ký tự (biên trên) — Pre-fill đầy đủ, không bị cắt","Boundary Value","Low","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí 'BP-GHICHU300' đã duyệt, trường Ghi chú có đúng 300 ký tự.","1. Truy cập Tham số >> Danh mục biểu phí.
2. Tại dòng biểu phí 'BP-GHICHU300', nhấn nút 'Sao chép'.
3. Kiểm tra trường 'Ghi chú' trên form Thêm mới.","(i) Nghiệp vụ/Logic: Trường Ghi chú hiển thị đầy đủ 300 ký tự, không bị cắt hay truncate.
(ii) UI: Nội dung Ghi chú hiển thị hoàn chỉnh trên form.","[QTC-01.6]","","",""
"US08-TC-017","SC-17","QTC-01.6: Mã tối đa 50 ký tự","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Mã biểu phí bản clone đạt giới hạn 50 ký tự (biên trên) — Xác nhận thành công","Boundary Value","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc → Form Thêm mới hiển thị.","1. Trên form Thêm mới, nhập Mã biểu phí = 'ABCDEFGHIJ1234567890ABCDEFGHIJ1234567890ABCDEFGHIJ' (đúng 50 ký tự, unique).
2. Nhấn nút 'Xác nhận'.","(i) Nghiệp vụ/Logic: Hệ thống chấp nhận Mã 50 ký tự. Validate thành công. Bản ghi được lưu ở trạng thái 'Chờ duyệt'.
(ii) UI: Toast 'Thêm mới thành công'. Bản ghi hiển thị tại Tác vụ Pending.","[QTC-01.6] Mã tối đa 50 ký tự","","",""
"US08-TC-018","SC-18","QTC-01.6: Tên tối đa 50 ký tự","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Tên biểu phí bản clone đạt giới hạn 50 ký tự — Xác nhận thành công","Boundary Value","Low","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc → Form Thêm mới hiển thị.","1. Trên form Thêm mới, sửa Mã biểu phí = 'BP-BV-TEN50' (unique).
2. Nhập Tên biểu phí = 'Biểu phí kiểm tra biên trên năm mươi ký tự chính xác' (đúng 50 ký tự).
3. Nhấn nút 'Xác nhận'.","(i) Nghiệp vụ/Logic: Hệ thống chấp nhận Tên 50 ký tự. Validate thành công.
(ii) UI: Toast 'Thêm mới thành công'.","[QTC-01.6] Tên tối đa 50 ký tự","","",""
"US08-TC-019","SC-19","QTC-01.6: Mã tối đa 50 ký tự","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Mã biểu phí vượt 50 ký tự (biên trên + 1) — FE chặn không cho nhập hoặc cắt chuỗi","Boundary Value","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc → Form Thêm mới hiển thị.","1. Trên form Thêm mới, nhập Mã biểu phí = 'ABCDEFGHIJ1234567890ABCDEFGHIJ1234567890ABCDEFGHIJK' (51 ký tự).
2. Quan sát hành vi FE.","(i) Nghiệp vụ/Logic: FE không cho phép nhập quá 50 ký tự.
(ii) UI: Trường Mã biểu phí chỉ hiển thị tối đa 50 ký tự đầu tiên (cắt ký tự thứ 51) hoặc không cho phép gõ thêm.","[QTC-01.6] BV biên trên + 1","","",""
"US08-TC-020","SC-20","QA-04.3 BA xác nhận: 'nút sao chép nằm trong cột Hành động của Biểu phí trên Lưới Danh mục Biểu phí'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Nút 'Sao chép' hiển thị đúng vị trí trong cột 'Hành động' trên lưới","UI/UX & Field Validation","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí ở các trạng thái: Chưa hiệu lực, Đang hiệu lực, Hết hiệu lực.","1. Truy cập Tham số >> Danh mục biểu phí.
2. Quan sát cột 'Hành động' tại từng dòng biểu phí trên lưới.","(i) Nghiệp vụ/Logic: Nút 'Sao chép' hiển thị cho tất cả biểu phí ở trạng thái hoạt động (Chưa/Đang/Hết hiệu lực).
(ii) UI: Nút 'Sao chép' nằm trong cột 'Hành động' (dạng icon/button) ở cuối mỗi dòng dữ liệu.","","","",""
"US08-TC-021","SC-21","QA-04.1 BA xác nhận: 'UI hoàn toàn giống US06 và không bổ sung Mockup'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Form Thêm mới sau sao chép HOÀN TOÀN giống form Thêm mới US06 — Không có UI clone riêng","UI/UX & Field Validation","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc → Form Thêm mới hiển thị.","1. So sánh layout form Thêm mới (clone) với form Thêm mới US06.
2. Kiểm tra xem có label/badge 'Clone', 'Sao chép từ...', hoặc UI riêng biệt nào không.","(i) Nghiệp vụ/Logic: Form Thêm mới (clone) có layout, trường, nút hoàn toàn giống US06 Thêm mới.
(ii) UI: Không có label/badge 'Clone' hay 'Sao chép từ...'. Title = 'Thêm mới Biểu phí' (giống US06).","","","",""
"US08-TC-022","SC-22","QA-04.2 BA xác nhận: 'được phép sửa toàn bộ các trường dữ liệu'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Toàn bộ trường trên form clone đều Editable — Không có trường lock/readonly do là bản clone","UI/UX & Field Validation","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc → Form Thêm mới hiển thị với dữ liệu pre-fill.","1. Kiểm tra trạng thái của từng trường trên form: Mã, Tên, Ngày hiệu lực, Ngày hết hiệu lực, Ghi chú, v.v.
2. Thử click và nhập liệu vào từng trường.","(i) Nghiệp vụ/Logic: Tất cả trường mà US06 cho phép nhập ở form Thêm mới đều ở trạng thái Editable.
(ii) UI: Không có trường nào bị lock/readonly/disabled do là bản clone. User có thể sửa tất cả.","","","",""
"US08-TC-023","SC-23","QA-01.5 BA xác nhận: 'toàn quyền chỉnh sửa (Thêm/Sửa/Xóa) trên lưới chi tiết trước khi Xác nhận'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","User Thêm/Sửa/Xóa Code phí trên lưới chi tiết bản clone trước khi Xác nhận","UI/UX & Field Validation","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc có 3 Code phí (CP001, CP002, CP003).","1. Trên lưới chi tiết, xóa dòng Code phí 'CP003'.
2. Sửa thông tin của dòng Code phí 'CP002'.
3. Thêm mới 1 dòng Code phí 'CP-NEW01'.
4. Quan sát lưới chi tiết sau thao tác.","(i) Nghiệp vụ/Logic: Hệ thống cho phép user Thêm/Sửa/Xóa Code phí tự do trên lưới chi tiết.
(ii) UI: Lưới chi tiết hiển thị 3 Code phí: CP001 (giữ nguyên), CP002 (đã sửa), CP-NEW01 (mới thêm). CP003 đã bị xóa.","","","",""
"US08-TC-024","SC-24","BA xác nhận QA-01.8: 'Không đồng ý' thêm hậu tố ' - Copy'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Tên biểu phí sao chép nguyên giá trị — KHÔNG tự động thêm hậu tố ' - Copy'","UI/UX & Field Validation","Low","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí gốc có Tên = 'Biểu phí VIP Quý 1'.","1. Tại dòng biểu phí 'Biểu phí VIP Quý 1', nhấn nút 'Sao chép'.
2. Kiểm tra trường 'Tên biểu phí' trên form Thêm mới.","(i) Nghiệp vụ/Logic: Tên biểu phí = 'Biểu phí VIP Quý 1' (nguyên giá trị, KHÔNG có hậu tố ' - Copy' hay bất kỳ suffix nào).
(ii) UI: Trường 'Tên biểu phí' hiển thị 'Biểu phí VIP Quý 1' (y hệt bản gốc).","","","",""
"US08-TC-025","SC-25","BA xác nhận QA-01.6: 'Mã Biểu phí do người dùng nhập, Mã biểu phí cũng được sao chép'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Mã biểu phí được sao chép nguyên giá trị — User phải tự sửa Mã trước khi Xác nhận","UI/UX & Field Validation","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí gốc có Mã = 'BP-ORIGINAL'.","1. Tại dòng biểu phí 'BP-ORIGINAL', nhấn nút 'Sao chép'.
2. Kiểm tra trường 'Mã biểu phí' trên form Thêm mới.","(i) Nghiệp vụ/Logic: Mã biểu phí = 'BP-ORIGINAL' (nguyên giá trị, do user nhập chứ không phải hệ thống sinh). User phải sửa Mã mới (unique) trước khi Xác nhận.
(ii) UI: Trường 'Mã biểu phí' hiển thị 'BP-ORIGINAL', ở trạng thái Editable.","","","",""
"US08-TC-026","SC-26","QA-01.4 BA xác nhận: 'hệ thống sẽ lấy các dữ liệu đã duyệt của Biểu phí tại thời điểm nhân bản'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Biểu phí gốc đang Chờ duyệt chỉnh sửa — Hệ thống lấy dữ liệu phiên bản đã duyệt để pre-fill","Business Logic","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Biểu phí 'BP-DANGDUYET' đang hiệu lực, có tác vụ 'Chờ duyệt chỉnh sửa' (Maker khác đã sửa Tên thành 'Tên sửa nháp' nhưng chưa duyệt; bản đã duyệt có Tên = 'Tên gốc đã duyệt').","1. Truy cập Tham số >> Danh mục biểu phí.
2. Tại dòng biểu phí 'BP-DANGDUYET', nhấn nút 'Sao chép'.
3. Kiểm tra trường 'Tên biểu phí' trên form Thêm mới.","(i) Nghiệp vụ/Logic: Hệ thống pre-fill dữ liệu từ phiên bản 'đã duyệt'. Tên = 'Tên gốc đã duyệt' (KHÔNG phải 'Tên sửa nháp').
(ii) UI: Form Thêm mới hiển thị dữ liệu đã duyệt. Bản nháp chờ duyệt KHÔNG được sao chép.","","","",""
"US08-TC-027","SC-27","QA-01.2 BA xác nhận: 'Biểu phí ở trạng thái phê duyệt = chờ duyệt không hiển thị trên lưới'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Biểu phí ở trạng thái Chờ duyệt (Thêm mới) — Không hiển thị trên lưới, không thể sao chép","Business Logic","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Biểu phí 'BP-CHODUYETMOI' đang ở trạng thái 'Chờ duyệt' (hành động Thêm mới, chưa được Last Checker duyệt).","1. Truy cập Tham số >> Danh mục biểu phí.
2. Tìm kiếm biểu phí 'BP-CHODUYETMOI' trên lưới.
3. Quan sát kết quả.","(i) Nghiệp vụ/Logic: Biểu phí 'BP-CHODUYETMOI' KHÔNG hiển thị trên lưới Danh mục Biểu phí (do chưa được duyệt). Không có nút 'Sao chép' để thao tác.
(ii) UI: Lưới không hiển thị biểu phí này.","","","",""
